SHAPE,GIS_IDNTFC_NO,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,SRC_OBJECTID,SRC_LD_CPSG_CODE,BULD_IDNTFC_NO,AGBLDG_SE_CODE,BULD_KND_CODE,BULD_TOTAR,STRCT_CODE,STRCT_CODE_NM,MAIN_PRPOS_CODE,MAIN_PRPOS_CODE_NM,BULD_HG,GROUND_FLOOR_CO,UNDGRND_FLOOR_CO,USE_CONFM_DE,BULD_AGE,AGRDE_SE_CODE,AGRDE_SE_CODE_NM,AGRDE_5_CLASS_SE_CODE,AGRDE_5_CLASS_SE_CODE_NM,FRST_REGIST_DT,PRMISN_DE,BULD_NM,BULD_DONG_NM
203186.279 451462.225 203180.99 451462.746 203180.729 451461.756 203171.999 451462.706 203171.209 451455.616 203185.669 451454.406 203186.279 451462.225,1942203178964514586500000000,1120010700101920030,11200,10700,1,0192,0030,27103,11200,9459,1,2,65.32,51,일반목구조,04000,제2종근린생활시설,5,1,0,19420215,78,08,70대,080,80세미만,2019-01-31Z,,김영진氏 건물,김영진氏 건물
200441.89 452853.331 200441.99 452861.201 200432.79 452861.142 200432.82 452857.882 200438.47 452857.752 200438.6 452853.301 200441.89 452853.331,0000200438344528582000000000,1111016500100060008,11110,16500,1,0006,0008,3830,11110,7001,1,2,63.64,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
198560.503 452764.861 198550.513 452761.881 198552.432 452755.281 198556.453 452756.441 198556.353 452758.951 198559.943 452759.991 198560.773 452757.111 198564.353 452758.151 198563.463 452761.081 198562.943 452764.151 198560.753 452763.971 198560.503 452764.861,0000198557284527604100000000,1111014100101000000,11110,14100,1,0100,0000,16052,11110,10859,1,2,49.59,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
201756.621 452886.13 201754.791 452886.05 201754.831 452885.49 201749.701 452885.091 201750.821 452878.81 201755.211 452879.381 201755.381 452879.74 201760.121 452880.52 201759.461 452886.25 201756.621 452886.13,1994201754964528826700000000,1111017500105390000,11110,17500,1,0539,0000,4745,11110,28980,1,2,157.38,11,벽돌구조,01000,단독주택,6.4,3,0,19940628,26,03,20대,030,30세미만,2019-01-31Z,19940331,,
201359.119 452952.327 201354.809 452950.597 201354.059 452951.217 201351.089 452950.937 201349.769 452949.898 201353.489 452944.717 201361.479 452950.097 201359.119 452952.327,1940201355314529489900000000,1111017500100560009,11110,17500,1,0056,0009,4751,11110,20323,1,2,29.75,51,일반목구조,01000,단독주택,0,1,0,19401020,80,09,80대,085,85세미만,2019-01-31Z,,,
200873.483 452230.099 200874.443 452233.669 200873.623 452234.009 200873.783 452235.209 200873.393 452235.469 200873.783 452237.399 200865.323 452240.299 200862.163 452232.53 200870.073 452229.809 200873.483 452230.099,1975200868604522346200000000,1111017400106870004,11110,17400,1,0687,0004,5972,11110,29375,1,2,257.93,21,철근콘크리트구조,01000,단독주택,0,3,1,19750711,45,05,40대,050,50세미만,2019-01-31Z,,,
201387.441 452472.313 201392.051 452475.013 201390.221 452477.803 201381.921 452473.813 201381.521 452472.683 201385.991 452466.843 201394.201 452470.993 201392.771 452472.943 201387.961 452471.213 201387.441 452472.313,1936201387494524722200000000,1111017500100720061,11110,17500,1,0072,0061,8408,11110,21033,1,2,46.28,51,일반목구조,04000,제2종근린생활시설,0,1,0,19360507,84,09,80대,085,85세미만,2019-01-31Z,,숭인동 72-61 단독주택 (임신재),
197791.97 456706.316 197778.5 456712.356 197773.8 456703.216 197787.74 456696.486 197791.97 456706.316,1980197783034567045300000000,1111018300104640015,11110,18300,1,0464,0015,23329,11110,7043,1,2,196.53,11,벽돌구조,01000,단독주택,0,2,1,19801024,40,05,40대,045,45세미만,2019-01-31Z,,,
200939.753 452201.878 200939.353 452204.578 200934.003 452203.968 200934.033 452201.048 200937.233 452190.548 200950.143 452194.118 200948.773 452198.838 200947.133 452199.018 200946.153 452201.358 200940.203 452200.148 200939.753 452201.878,1965200941104521972900000000,1111017400105450000,11110,17400,1,0545,0000,5990,11110,3064,1,2,485.65,21,철근콘크리트구조,03000,제1종근린생활시설,0,4,0,19651006,55,06,50대,060,60세미만,2019-01-31Z,,,
197569.731 453143.74 197567.581 453155.43 197558.751 453153.81 197560.901 453142.12 197569.731 453143.74,1999197564244531487700000000,1111010500100430005,11110,10500,1,0043,0005,13832,11110,29073,1,2,560.08,11,벽돌구조,01000,단독주택,9.2,3,1,19990427,21,03,20대,025,25세미만,2019-01-31Z,19980502,,
