SHAPE,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,LNM_LNDCGR_SMBOL,SRC_OBJECTID,SRC_LD_CPSG_CODE,ISSU_CONFM_CODE,STDR_YEAR,STDR_MT,ADSTRD_EMD_CODE,PBLNTF_PCLND,LNDCGR_CODE,LNDCGR_CODE_NM,LNDPCL_AR,PRPOS_AREA_1,PRPOS_AREA_1_NM,PRPOS_AREA_2,PRPOS_AREA_2_NM,LAD_USE_SITTN,LAD_USE_SITTN_NM,TPGRPH_HG_CODE,TPGRPH_HG_CODE_NM,TPGRPH_FRM_CODE,TPGRPH_FRM_CODE_NM,ROAD_SIDE_CODE,ROAD_SIDE_CODE_NM,FRST_REGIST_DT
198415.783 452942.89 198402.625 452942.63 198402.752 452939.853 198402.928 452932.318 198416.001 452932.048 198415.783 452942.89,1111014100100170009,11110,14100,1,0017,0009,17-9대,194948,11110,1,2018,01,904,4615000,08,대,136.5,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,01,정방형,10,세로한면(불),2018-08-07Z
198410.126 452918.951 198410.351 452919.553 198416.311 452920.148 198416.099 452930.765 198403.096 452930.679 198403.067 452927.688 198403.387 452919.258 198405.399 452918.895 198410.126 452918.951,1111014100100170010,11110,14100,1,0017,0010,17-10대,163152,11110,1,2018,01,904,5560000,08,대,148.8,13,제1종일반주거지역,00,지정되지않음,160,주거기타,02,평지,04,사다리형,08,세로한면(가),2018-08-07Z
198402.752 452939.853 198402.625 452942.63 198402.606 452953.785 198386.91 452953.972 198387.955 452940.514 198387.553 452940.485 198387.652 452938.976 198402.752 452939.853,1111014100100170011,11110,14100,1,0017,0011,17-11대,163141,11110,1,2018,01,904,6007000,08,대,218.8,13,제1종일반주거지역,00,지정되지않음,330,주상기타,02,평지,01,정방형,08,세로한면(가),2018-08-07Z
198434.973 452931.269 198429.91 452931.103 198429.838 452921.503 198438.343 452921.828 198441.716 452921.552 198441.534 452924.763 198442.084 452928.58 198435.401 452927.923 198434.973 452931.269,1111014100100170012,11110,14100,1,0017,0012,17-12대,163151,11110,1,2018,01,904,5622000,08,대,92.6,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,07,부정형,08,세로한면(가),2018-08-07Z
198420.624 452920.416 198429.838 452921.503 198429.91 452931.103 198417.138 452931.098 198417.342 452920.22 198420.624 452920.416,1111014100100170013,11110,14100,1,0017,0013,17-13대,194950,11110,1,2018,01,904,5560000,08,대,130.6,13,제1종일반주거지역,00,지정되지않음,160,주거기타,02,평지,04,사다리형,08,세로한면(가),2018-08-07Z
198388.761 452928.141 198387.652 452938.976 198387.553 452940.485 198381.547 452939.995 198374.954 452938.593 198374.473 452938.495 198375.365 452931.257 198377.104 452924.632 198388.761 452928.141,1111014100100170014,11110,14100,1,0017,0014,17-14대,163147,11110,1,2018,01,904,4525000,08,대,178.5,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,04,사다리형,10,세로한면(불),2018-08-07Z
198401.367 452928.815 198401.36 452932.24 198402.928 452932.318 198402.752 452939.853 198387.652 452938.976 198388.761 452928.141 198401.367 452928.815,1111014100100170015,11110,14100,1,0017,0015,17-15대,163148,11110,1,2018,01,904,4525000,08,대,157.4,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,04,사다리형,10,세로한면(불),2018-08-07Z
198403.067 452927.688 198393.782 452927.474 198388.604 452927.191 198389.294 452918.508 198391.346 452919.126 198393.487 452920.252 198403.387 452919.258 198403.067 452927.688,1111014100100170016,11110,14100,1,0017,0016,17-16대,209535,11110,1,2018,01,904,5560000,08,대,117,13,제1종일반주거지역,00,지정되지않음,160,주거기타,02,평지,04,사다리형,08,세로한면(가),2018-08-07Z
198389.294 452918.508 198388.604 452927.191 198378.359 452923.476 198380.906 452915.962 198389.294 452918.508,1111014100100170017,11110,14100,1,0017,0017,17-17대,163155,11110,1,2018,01,904,5560000,08,대,82.6,13,제1종일반주거지역,00,지정되지않음,160,주거기타,02,평지,04,사다리형,08,세로한면(가),2018-08-07Z
198360.358 452915.607 198363.143 452917.327 198364.297 452918.207 198368.861 452921.483 198377.104 452924.632 198375.365 452931.257 198374.473 452938.495 198365.298 452936.238 198363.895 452935.327 198362.204 452934.789 198361.814 452934.642 198361.395 452932.726 198361.27 452930.261 198362.399 452924.47 198361.601 452923.582 198362.069 452921.417 198361.327 452921.047 198361.247 452920.261 198359.011 452919.965 198359.509 452917.573 198358.316 452917.373 198358.776 452915.165 198360.358 452915.607,1111014100100170018,11110,14100,1,0017,0018,17-18 대,203529,11110,1,2018,01,904,4344000,08,대,231.4,13,제1종일반주거지역,00,지정되지않음,160,주거기타,02,평지,07,부정형,10,세로한면(불),2018-08-07Z
198380.906 452915.962 198378.359 452923.476 198368.341 452919.574 198364.639 452916.538 198362.047 452914.382 198360.231 452911.839 198362.515 452912.502 198363.473 452910.44 198365.747 452911.131 198380.906 452915.962,1111014100100170019,11110,14100,1,0017,0019,17-19 대,203322,11110,1,2018,01,904,4212000,08,대,128.9,13,제1종일반주거지역,00,지정되지않음,160,주거기타,02,평지,07,부정형,10,세로한면(불),2018-08-07Z
198417.214 452943.173 198417.105 452954.384 198415.714 452954.316 198415.783 452942.89 198416.001 452932.048 198402.928 452932.318 198401.36 452932.24 198401.367 452928.815 198388.761 452928.141 198377.104 452924.632 198368.861 452921.483 198364.297 452918.207 198364.639 452916.538 198368.341 452919.574 198378.359 452923.476 198388.604 452927.191 198393.782 452927.474 198403.067 452927.688 198403.096 452930.679 198416.099 452930.765 198416.311 452920.148 198417.342 452920.22 198417.138 452931.098 198429.91 452931.103 198434.973 452931.269 198434.913 452931.812 198433.404 452931.881 198433.257 452932.175 198426.93 452932.255 198417.471 452931.979 198417.214 452943.173,1111014100100170021,11110,14100,1,0017,0021,17-21도,194944,11110,1,2018,01,904,1493000,14,도로,140,13,제1종일반주거지역,00,지정되지않음,910,도로등,02,평지,02,가로장방,10,세로한면(불),2018-08-07Z
198381.547 452939.995 198387.553 452940.485 198387.955 452940.514 198386.91 452953.972 198374.888 452954.078 198375.014 452944.422 198374.954 452938.593 198381.547 452939.995,1111014100100180000,11110,14100,1,0018,0000,18대,163140,11110,1,2018,01,904,5948000,08,대,180.5,13,제1종일반주거지역,00,지정되지않음,330,주상기타,02,평지,03,세로장방,08,세로한면(가),2018-08-07Z
198375.014 452944.422 198374.888 452954.078 198373.61 452954.135 198373.691 452944.308 198375.014 452944.422,1111014100100180002,11110,14100,1,0018,0002,18-2도,194945,11110,1,2018,01,904,1943000,14,도로,11.6,13,제1종일반주거지역,00,지정되지않음,910,도로등,02,평지,03,세로장방,08,세로한면(가),2018-08-07Z
198363.253 452954.276 198362.648 452948.042 198363.824 452946.707 198364.041 452944.026 198373.691 452944.308 198373.61 452954.135 198371.974 452954.204 198371.871 452953.885 198363.253 452954.276,1111014100100180003,11110,14100,1,0018,0003,18-3대,163139,11110,1,2018,01,904,6007000,08,대,100.5,13,제1종일반주거지역,00,지정되지않음,330,주상기타,02,평지,01,정방형,08,세로한면(가),2018-08-07Z
198374.473 452938.495 198374.954 452938.593 198375.014 452944.422 198373.691 452944.308 198364.041 452944.026 198363.952 452940.189 198364.009 452937.2 198365.298 452936.238 198374.473 452938.495,1111014100100180004,11110,14100,1,0018,0004,18-4대,163144,11110,1,2018,01,904,4470000,08,대,76,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,08,자루형,08,세로한면(가),2018-08-07Z
198450.302 452756.559 198451.707 452757.308 198451.444 452758.156 198446.374 452756.175 198461.678 452713.381 198492.702 452725.281 198495.969 452716.579 198521.381 452724.607 198520.207 452728.643 198518.709 452733.498 198508.847 452730.066 198507.454 452729.712 198502.953 452728.567 198500 452727.44 198497.385 452726.441 198492.241 452741.52 198485.082 452738.85 198489.546 452727.496 198487.334 452726.94 198484.093 452735.801 198480.36 452736.033 198462.326 452729.349 198461.265 452732.555 198463.194 452733.191 198456.69 452749.84 198454.696 452749.112 198453.838 452751.527 198452.395 452750.96 198450.302 452756.559,1111014100101750112,11110,14100,1,0175,0112,175-112 학,304354,11110,1,2018,01,904,4923000,10,학교용지,985.1,13,제1종일반주거지역,00,지정되지않음,160,주거기타,02,평지,07,부정형,06,소로한면,2018-08-07Z
